,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_1_PASS_a,F,S,la gemme avec les bracelets est achetée <eos>,6,achetée,acheté,4,M,P,achetée,-8.440836,acheté,-10.608995,1
1,S_NOUN_1_PASS_a,F,S,la gemme avec les bracelets est brisée <eos>,6,brisée,brisé,4,M,P,brisée,-7.082905,brisé,-10.122531,1
2,S_NOUN_1_PASS_a,F,S,la gemme avec les bracelets est cachée <eos>,6,cachée,caché,4,M,P,cachée,-7.918583,caché,-9.904467,1
3,S_NOUN_1_PASS_a,F,S,la gemme avec les bracelets est cassée <eos>,6,cassée,cassé,4,M,P,cassée,-8.205147,cassé,-10.631609,1
4,S_NOUN_1_PASS_a,F,S,la gemme avec les bracelets est couverte <eos>,6,couverte,couvert,4,M,P,couverte,-6.7986946,couvert,-10.136506,1
5,S_NOUN_1_PASS_a,F,S,la gemme avec les bracelets est déformée <eos>,6,déformée,déformé,4,M,P,déformée,-9.082111,déformé,-11.894232,1
6,S_NOUN_1_PASS_a,F,S,la gemme avec les bracelets est fixée <eos>,6,fixée,fixé,4,M,P,fixée,-5.4548335,fixé,-8.016994,1
7,S_NOUN_1_PASS_a,F,S,la gemme avec les bracelets est jetée <eos>,6,jetée,jeté,4,M,P,jetée,-6.706488,jeté,-10.058735,1
8,S_NOUN_1_PASS_a,F,S,la gemme avec les bracelets est laissée <eos>,6,laissée,laissé,4,M,P,laissée,-8.0408325,laissé,-10.510189,1
9,S_NOUN_1_PASS_a,F,S,la gemme avec les bracelets est ouverte <eos>,6,ouverte,ouvert,4,M,P,ouverte,-6.847264,ouvert,-10.663265,1
10,S_NOUN_1_PASS_a,F,S,la gemme avec les bracelets est perdue <eos>,6,perdue,perdu,4,M,P,perdue,-7.659238,perdu,-10.446685,1
11,S_NOUN_1_PASS_a,F,S,la gemme avec les bracelets est réparée <eos>,6,réparée,réparé,4,M,P,réparée,-9.239088,réparé,-12.873017,1
12,S_NOUN_1_PASS_a,F,S,la gemme avec les bracelets est retirée <eos>,6,retirée,retiré,4,M,P,retirée,-8.063834,retiré,-9.287478,1
13,S_NOUN_1_PASS_a,F,S,la gemme avec les bracelets est tombée <eos>,6,tombée,tombé,4,M,P,tombée,-7.412731,tombé,-9.16786,1
14,S_NOUN_1_PASS_a,F,S,la gemme avec les bracelets est utilisée <eos>,6,utilisée,utilisé,4,M,P,utilisée,-4.0084863,utilisé,-7.04586,1
15,S_NOUN_1_PASS_a,F,S,la gemme avec les miroirs est achetée <eos>,6,achetée,acheté,4,M,P,achetée,-8.256505,acheté,-11.746172,1
16,S_NOUN_1_PASS_a,F,S,la gemme avec les miroirs est brisée <eos>,6,brisée,brisé,4,M,P,brisée,-6.817629,brisé,-9.961325,1
17,S_NOUN_1_PASS_a,F,S,la gemme avec les miroirs est cachée <eos>,6,cachée,caché,4,M,P,cachée,-6.962016,caché,-10.176134,1
18,S_NOUN_1_PASS_a,F,S,la gemme avec les miroirs est cassée <eos>,6,cassée,cassé,4,M,P,cassée,-9.497951,cassé,-11.121225,1
19,S_NOUN_1_PASS_a,F,S,la gemme avec les miroirs est couverte <eos>,6,couverte,couvert,4,M,P,couverte,-5.886593,couvert,-9.846878,1
20,S_NOUN_1_PASS_a,F,S,la gemme avec les miroirs est déformée <eos>,6,déformée,déformé,4,M,P,déformée,-8.50714,déformé,-11.789454,1
21,S_NOUN_1_PASS_a,F,S,la gemme avec les miroirs est fixée <eos>,6,fixée,fixé,4,M,P,fixée,-6.197247,fixé,-8.345516,1
22,S_NOUN_1_PASS_a,F,S,la gemme avec les miroirs est jetée <eos>,6,jetée,jeté,4,M,P,jetée,-7.714138,jeté,-10.911142,1
23,S_NOUN_1_PASS_a,F,S,la gemme avec les miroirs est laissée <eos>,6,laissée,laissé,4,M,P,laissée,-7.5701303,laissé,-10.203437,1
24,S_NOUN_1_PASS_a,F,S,la gemme avec les miroirs est ouverte <eos>,6,ouverte,ouvert,4,M,P,ouverte,-6.2546663,ouvert,-9.484013,1
25,S_NOUN_1_PASS_a,F,S,la gemme avec les miroirs est perdue <eos>,6,perdue,perdu,4,M,P,perdue,-6.803343,perdu,-10.300689,1
26,S_NOUN_1_PASS_a,F,S,la gemme avec les miroirs est réparée <eos>,6,réparée,réparé,4,M,P,réparée,-8.633101,réparé,-12.010563,1
27,S_NOUN_1_PASS_a,F,S,la gemme avec les miroirs est retirée <eos>,6,retirée,retiré,4,M,P,retirée,-7.2990837,retiré,-9.094387,1
28,S_NOUN_1_PASS_a,F,S,la gemme avec les miroirs est tombée <eos>,6,tombée,tombé,4,M,P,tombée,-8.577919,tombé,-10.951805,1
29,S_NOUN_1_PASS_a,F,S,la gemme avec les miroirs est utilisée <eos>,6,utilisée,utilisé,4,M,P,utilisée,-3.9065545,utilisé,-6.886879,1
