,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_1_ADJ_a,F,P,les gemmes avec le bracelet sont vertes <eos>,6,vertes,verts,4,M,S,vertes,-8.506836,verts,-9.570905,1
1,P_NOUN_1_ADJ_a,F,P,les gemmes avec le bracelet sont bleues <eos>,6,bleues,bleus,4,M,S,bleues,-8.363307,bleus,-9.995804,1
2,P_NOUN_1_ADJ_a,F,P,les gemmes avec le bracelet sont noires <eos>,6,noires,noirs,4,M,S,noires,-6.3095894,noirs,-8.658764,1
3,P_NOUN_1_ADJ_a,F,P,les gemmes avec le bracelet sont délicates <eos>,6,délicates,délicats,4,M,S,délicates,-13.044493,délicats,-12.419893,0
4,P_NOUN_1_ADJ_a,F,P,les gemmes avec le bracelet sont pointues <eos>,6,pointues,pointus,4,M,S,pointues,-10.7287655,pointus,-12.722076,1
5,P_NOUN_1_ADJ_a,F,P,les gemmes avec le bracelet sont rondes <eos>,6,rondes,ronds,4,M,S,rondes,-9.285967,ronds,-12.381252,1
6,P_NOUN_1_ADJ_a,F,P,les gemmes avec le bracelet sont froides <eos>,6,froides,froids,4,M,S,froides,-10.5483,froids,-15.221643,1
7,P_NOUN_1_ADJ_a,F,P,les gemmes avec le bracelet sont chaudes <eos>,6,chaudes,chauds,4,M,S,chaudes,-9.992188,chauds,-13.661797,1
8,P_NOUN_1_ADJ_a,F,P,les gemmes avec le bracelet sont importantes <eos>,6,importantes,importants,4,M,S,importantes,-8.831847,importants,-10.970777,1
9,P_NOUN_1_ADJ_a,F,P,les gemmes avec le bracelet sont courtes <eos>,6,courtes,courts,4,M,S,courtes,-9.889751,courts,-11.343318,1
10,P_NOUN_1_ADJ_a,F,P,les gemmes avec le bracelet sont dures <eos>,6,dures,durs,4,M,S,dures,-9.049925,durs,-11.782195,1
11,P_NOUN_1_ADJ_a,F,P,les gemmes avec le bracelet sont claires <eos>,6,claires,clairs,4,M,S,claires,-9.621054,clairs,-12.30864,1
12,P_NOUN_1_ADJ_a,F,P,les gemmes avec le bracelet sont intéressantes <eos>,6,intéressantes,intéressants,4,M,S,intéressantes,-10.337877,intéressants,-12.152902,1
13,P_NOUN_1_ADJ_a,F,P,les gemmes avec le bracelet sont brillantes <eos>,6,brillantes,brillants,4,M,S,brillantes,-10.321685,brillants,-11.373555,1
14,P_NOUN_1_ADJ_a,F,P,les gemmes avec le bracelet sont compliquées <eos>,6,compliquées,compliqués,4,M,S,compliquées,-10.625708,compliqués,-13.307198,1
15,P_NOUN_1_ADJ_a,F,P,les gemmes avec le miroir sont vertes <eos>,6,vertes,verts,4,M,S,vertes,-7.23705,verts,-9.970155,1
16,P_NOUN_1_ADJ_a,F,P,les gemmes avec le miroir sont bleues <eos>,6,bleues,bleus,4,M,S,bleues,-7.85841,bleus,-9.7699795,1
17,P_NOUN_1_ADJ_a,F,P,les gemmes avec le miroir sont noires <eos>,6,noires,noirs,4,M,S,noires,-5.9263105,noirs,-8.74735,1
18,P_NOUN_1_ADJ_a,F,P,les gemmes avec le miroir sont délicates <eos>,6,délicates,délicats,4,M,S,délicates,-12.126202,délicats,-12.838563,1
19,P_NOUN_1_ADJ_a,F,P,les gemmes avec le miroir sont pointues <eos>,6,pointues,pointus,4,M,S,pointues,-10.707203,pointus,-12.681557,1
20,P_NOUN_1_ADJ_a,F,P,les gemmes avec le miroir sont rondes <eos>,6,rondes,ronds,4,M,S,rondes,-9.017688,ronds,-11.244551,1
21,P_NOUN_1_ADJ_a,F,P,les gemmes avec le miroir sont froides <eos>,6,froides,froids,4,M,S,froides,-9.7247305,froids,-14.979867,1
22,P_NOUN_1_ADJ_a,F,P,les gemmes avec le miroir sont chaudes <eos>,6,chaudes,chauds,4,M,S,chaudes,-9.776524,chauds,-13.186376,1
23,P_NOUN_1_ADJ_a,F,P,les gemmes avec le miroir sont importantes <eos>,6,importantes,importants,4,M,S,importantes,-8.394575,importants,-10.661399,1
24,P_NOUN_1_ADJ_a,F,P,les gemmes avec le miroir sont courtes <eos>,6,courtes,courts,4,M,S,courtes,-9.297683,courts,-11.031746,1
25,P_NOUN_1_ADJ_a,F,P,les gemmes avec le miroir sont dures <eos>,6,dures,durs,4,M,S,dures,-9.199049,durs,-11.280244,1
26,P_NOUN_1_ADJ_a,F,P,les gemmes avec le miroir sont claires <eos>,6,claires,clairs,4,M,S,claires,-9.1554575,clairs,-12.29218,1
27,P_NOUN_1_ADJ_a,F,P,les gemmes avec le miroir sont intéressantes <eos>,6,intéressantes,intéressants,4,M,S,intéressantes,-10.409414,intéressants,-12.051639,1
28,P_NOUN_1_ADJ_a,F,P,les gemmes avec le miroir sont brillantes <eos>,6,brillantes,brillants,4,M,S,brillantes,-9.283619,brillants,-10.573343,1
29,P_NOUN_1_ADJ_a,F,P,les gemmes avec le miroir sont compliquées <eos>,6,compliquées,compliqués,4,M,S,compliquées,-10.855228,compliqués,-13.271669,1
30,P_NOUN_1_ADJ_a,F,P,les gemmes avec le crayon sont vertes <eos>,6,vertes,verts,4,M,S,vertes,-7.282606,verts,-11.007142,1
31,P_NOUN_1_ADJ_a,F,P,les gemmes avec le crayon sont bleues <eos>,6,bleues,bleus,4,M,S,bleues,-7.8925653,bleus,-10.373505,1
32,P_NOUN_1_ADJ_a,F,P,les gemmes avec le crayon sont noires <eos>,6,noires,noirs,4,M,S,noires,-5.978945,noirs,-9.796962,1
33,P_NOUN_1_ADJ_a,F,P,les gemmes avec le crayon sont délicates <eos>,6,délicates,délicats,4,M,S,délicates,-12.113601,délicats,-12.493003,1
34,P_NOUN_1_ADJ_a,F,P,les gemmes avec le crayon sont pointues <eos>,6,pointues,pointus,4,M,S,pointues,-10.404766,pointus,-13.563967,1
35,P_NOUN_1_ADJ_a,F,P,les gemmes avec le crayon sont rondes <eos>,6,rondes,ronds,4,M,S,rondes,-8.401101,ronds,-12.644534,1
36,P_NOUN_1_ADJ_a,F,P,les gemmes avec le crayon sont froides <eos>,6,froides,froids,4,M,S,froides,-11.004386,froids,-15.901996,1
37,P_NOUN_1_ADJ_a,F,P,les gemmes avec le crayon sont chaudes <eos>,6,chaudes,chauds,4,M,S,chaudes,-10.060389,chauds,-13.765427,1
38,P_NOUN_1_ADJ_a,F,P,les gemmes avec le crayon sont importantes <eos>,6,importantes,importants,4,M,S,importantes,-8.669148,importants,-11.84603,1
39,P_NOUN_1_ADJ_a,F,P,les gemmes avec le crayon sont courtes <eos>,6,courtes,courts,4,M,S,courtes,-8.883811,courts,-11.6011095,1
40,P_NOUN_1_ADJ_a,F,P,les gemmes avec le crayon sont dures <eos>,6,dures,durs,4,M,S,dures,-9.432491,durs,-11.532394,1
41,P_NOUN_1_ADJ_a,F,P,les gemmes avec le crayon sont claires <eos>,6,claires,clairs,4,M,S,claires,-9.425385,clairs,-12.512549,1
42,P_NOUN_1_ADJ_a,F,P,les gemmes avec le crayon sont intéressantes <eos>,6,intéressantes,intéressants,4,M,S,intéressantes,-10.500543,intéressants,-12.199511,1
43,P_NOUN_1_ADJ_a,F,P,les gemmes avec le crayon sont brillantes <eos>,6,brillantes,brillants,4,M,S,brillantes,-9.399732,brillants,-11.713503,1
44,P_NOUN_1_ADJ_a,F,P,les gemmes avec le crayon sont compliquées <eos>,6,compliquées,compliqués,4,M,S,compliquées,-10.833431,compliqués,-13.851006,1
45,P_NOUN_1_ADJ_a,F,P,les gemmes avec le rideau sont vertes <eos>,6,vertes,verts,4,M,S,vertes,-7.052975,verts,-9.234124,1
46,P_NOUN_1_ADJ_a,F,P,les gemmes avec le rideau sont bleues <eos>,6,bleues,bleus,4,M,S,bleues,-7.247349,bleus,-9.099833,1
47,P_NOUN_1_ADJ_a,F,P,les gemmes avec le rideau sont noires <eos>,6,noires,noirs,4,M,S,noires,-4.9418063,noirs,-8.041517,1
