,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_9_PASS_a,F,S,la gemme qui était là depuis hier est plus ou moins achetée . <eos>,11,achetée,acheté,9,achetée,-8.771308,acheté,-11.593526,1
1,S_NOUN_9_PASS_a,F,S,la gemme qui était là depuis hier est plus ou moins brisée . <eos>,11,brisée,brisé,9,brisée,-5.4174204,brisé,-11.850405,1
2,S_NOUN_9_PASS_a,F,S,la gemme qui était là depuis hier est plus ou moins cachée . <eos>,11,cachée,caché,9,cachée,-5.4336424,caché,-7.036976,1
3,S_NOUN_9_PASS_a,F,S,la gemme qui était là depuis hier est plus ou moins cassée . <eos>,11,cassée,cassé,9,cassée,-8.0185375,cassé,-11.339708,1
4,S_NOUN_9_PASS_a,F,S,la gemme qui était là depuis hier est plus ou moins couverte . <eos>,11,couverte,couvert,9,couverte,-6.5962486,couvert,-8.853373,1
5,S_NOUN_9_PASS_a,F,S,la gemme qui était là depuis hier est plus ou moins déformée . <eos>,11,déformée,déformé,9,déformée,-6.297763,déformé,-8.744858,1
6,S_NOUN_9_PASS_a,F,S,la gemme qui était là depuis hier est plus ou moins fixée . <eos>,11,fixée,fixé,9,fixée,-8.699689,fixé,-11.102599,1
7,S_NOUN_9_PASS_a,F,S,la gemme qui était là depuis hier est plus ou moins jetée . <eos>,11,jetée,jeté,9,jetée,-7.640998,jeté,-13.051443,1
8,S_NOUN_9_PASS_a,F,S,la gemme qui était là depuis hier est plus ou moins laissée . <eos>,11,laissée,laissé,9,laissée,-7.2145424,laissé,-10.289348,1
9,S_NOUN_9_PASS_a,F,S,la gemme qui était là depuis hier est plus ou moins ouverte . <eos>,11,ouverte,ouvert,9,ouverte,-5.9796247,ouvert,-8.880423,1
10,S_NOUN_9_PASS_a,F,S,la gemme qui était là depuis hier est plus ou moins perdue . <eos>,11,perdue,perdu,9,perdue,-6.8182125,perdu,-9.758032,1
11,S_NOUN_9_PASS_a,F,S,la gemme qui était là depuis hier est plus ou moins réparée . <eos>,11,réparée,réparé,9,réparée,-9.321768,réparé,-12.539943,1
12,S_NOUN_9_PASS_a,F,S,la gemme qui était là depuis hier est plus ou moins retirée . <eos>,11,retirée,retiré,9,retirée,-7.534379,retiré,-11.474664,1
13,S_NOUN_9_PASS_a,F,S,la gemme qui était là depuis hier est plus ou moins tombée . <eos>,11,tombée,tombé,9,tombée,-10.342393,tombé,-10.604472,1
14,S_NOUN_9_PASS_a,F,S,la gemme qui était là depuis hier est plus ou moins utilisée . <eos>,11,utilisée,utilisé,9,utilisée,-5.1284385,utilisé,-7.7917514,1
15,S_NOUN_9_PASS_a,F,S,la chaise qui était là depuis hier est plus ou moins achetée . <eos>,11,achetée,acheté,9,achetée,-9.659008,acheté,-12.40308,1
16,S_NOUN_9_PASS_a,F,S,la chaise qui était là depuis hier est plus ou moins brisée . <eos>,11,brisée,brisé,9,brisée,-6.5897846,brisé,-12.928577,1
17,S_NOUN_9_PASS_a,F,S,la chaise qui était là depuis hier est plus ou moins cachée . <eos>,11,cachée,caché,9,cachée,-6.450781,caché,-8.728832,1
18,S_NOUN_9_PASS_a,F,S,la chaise qui était là depuis hier est plus ou moins cassée . <eos>,11,cassée,cassé,9,cassée,-7.869691,cassé,-11.939656,1
19,S_NOUN_9_PASS_a,F,S,la chaise qui était là depuis hier est plus ou moins couverte . <eos>,11,couverte,couvert,9,couverte,-6.5372696,couvert,-8.467577,1
20,S_NOUN_9_PASS_a,F,S,la chaise qui était là depuis hier est plus ou moins déformée . <eos>,11,déformée,déformé,9,déformée,-6.6463313,déformé,-10.326756,1
21,S_NOUN_9_PASS_a,F,S,la chaise qui était là depuis hier est plus ou moins fixée . <eos>,11,fixée,fixé,9,fixée,-7.31088,fixé,-10.462957,1
22,S_NOUN_9_PASS_a,F,S,la chaise qui était là depuis hier est plus ou moins jetée . <eos>,11,jetée,jeté,9,jetée,-7.710479,jeté,-13.424074,1
23,S_NOUN_9_PASS_a,F,S,la chaise qui était là depuis hier est plus ou moins laissée . <eos>,11,laissée,laissé,9,laissée,-7.7815266,laissé,-10.938949,1
24,S_NOUN_9_PASS_a,F,S,la chaise qui était là depuis hier est plus ou moins ouverte . <eos>,11,ouverte,ouvert,9,ouverte,-5.1889753,ouvert,-8.160603,1
25,S_NOUN_9_PASS_a,F,S,la chaise qui était là depuis hier est plus ou moins perdue . <eos>,11,perdue,perdu,9,perdue,-7.726531,perdu,-9.655055,1
26,S_NOUN_9_PASS_a,F,S,la chaise qui était là depuis hier est plus ou moins réparée . <eos>,11,réparée,réparé,9,réparée,-9.108754,réparé,-12.773491,1
27,S_NOUN_9_PASS_a,F,S,la chaise qui était là depuis hier est plus ou moins retirée . <eos>,11,retirée,retiré,9,retirée,-7.1007223,retiré,-11.336061,1
28,S_NOUN_9_PASS_a,F,S,la chaise qui était là depuis hier est plus ou moins tombée . <eos>,11,tombée,tombé,9,tombée,-11.004309,tombé,-11.088427,1
29,S_NOUN_9_PASS_a,F,S,la chaise qui était là depuis hier est plus ou moins utilisée . <eos>,11,utilisée,utilisé,9,utilisée,-4.99974,utilisé,-7.9001317,1
30,S_NOUN_9_PASS_a,F,S,la poubelle qui était là depuis hier est plus ou moins achetée . <eos>,11,achetée,acheté,9,achetée,-9.766145,acheté,-12.055167,1
31,S_NOUN_9_PASS_a,F,S,la poubelle qui était là depuis hier est plus ou moins brisée . <eos>,11,brisée,brisé,9,brisée,-6.2968397,brisé,-12.355701,1
32,S_NOUN_9_PASS_a,F,S,la poubelle qui était là depuis hier est plus ou moins cachée . <eos>,11,cachée,caché,9,cachée,-5.700065,caché,-7.7216673,1
33,S_NOUN_9_PASS_a,F,S,la poubelle qui était là depuis hier est plus ou moins cassée . <eos>,11,cassée,cassé,9,cassée,-7.975487,cassé,-11.456467,1
34,S_NOUN_9_PASS_a,F,S,la poubelle qui était là depuis hier est plus ou moins couverte . <eos>,11,couverte,couvert,9,couverte,-6.282564,couvert,-8.5206585,1
35,S_NOUN_9_PASS_a,F,S,la poubelle qui était là depuis hier est plus ou moins déformée . <eos>,11,déformée,déformé,9,déformée,-7.1595583,déformé,-10.069991,1
36,S_NOUN_9_PASS_a,F,S,la poubelle qui était là depuis hier est plus ou moins fixée . <eos>,11,fixée,fixé,9,fixée,-6.94046,fixé,-9.787359,1
37,S_NOUN_9_PASS_a,F,S,la poubelle qui était là depuis hier est plus ou moins jetée . <eos>,11,jetée,jeté,9,jetée,-7.526653,jeté,-12.551547,1
38,S_NOUN_9_PASS_a,F,S,la poubelle qui était là depuis hier est plus ou moins laissée . <eos>,11,laissée,laissé,9,laissée,-7.836457,laissé,-10.837545,1
39,S_NOUN_9_PASS_a,F,S,la poubelle qui était là depuis hier est plus ou moins ouverte . <eos>,11,ouverte,ouvert,9,ouverte,-5.8249435,ouvert,-8.403321,1
40,S_NOUN_9_PASS_a,F,S,la poubelle qui était là depuis hier est plus ou moins perdue . <eos>,11,perdue,perdu,9,perdue,-7.497436,perdu,-9.574551,1
41,S_NOUN_9_PASS_a,F,S,la poubelle qui était là depuis hier est plus ou moins réparée . <eos>,11,réparée,réparé,9,réparée,-8.34046,réparé,-12.218342,1
42,S_NOUN_9_PASS_a,F,S,la poubelle qui était là depuis hier est plus ou moins retirée . <eos>,11,retirée,retiré,9,retirée,-6.864958,retiré,-11.046121,1
43,S_NOUN_9_PASS_a,F,S,la poubelle qui était là depuis hier est plus ou moins tombée . <eos>,11,tombée,tombé,9,tombée,-9.843254,tombé,-10.606614,1
44,S_NOUN_9_PASS_a,F,S,la poubelle qui était là depuis hier est plus ou moins utilisée . <eos>,11,utilisée,utilisé,9,utilisée,-4.8855934,utilisé,-7.563425,1
45,S_NOUN_9_PASS_a,F,S,la chemise qui était là depuis hier est plus ou moins achetée . <eos>,11,achetée,acheté,9,achetée,-10.363899,acheté,-13.144418,1
46,S_NOUN_9_PASS_a,F,S,la chemise qui était là depuis hier est plus ou moins brisée . <eos>,11,brisée,brisé,9,brisée,-7.1212587,brisé,-13.272417,1
47,S_NOUN_9_PASS_a,F,S,la chemise qui était là depuis hier est plus ou moins cachée . <eos>,11,cachée,caché,9,cachée,-6.66104,caché,-9.192882,1
