,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_3_PASS_b,F,P,les gemmes avec les chaises sont aussi probablement achetées <eos>,8,achetées,achetés,6,F,achetées,-7.826087,achetés,-10.344586,1
1,P_NOUN_3_PASS_b,F,P,les gemmes avec les chaises sont aussi probablement brisées <eos>,8,brisées,brisés,6,F,brisées,-7.216426,brisés,-12.345471,1
2,P_NOUN_3_PASS_b,F,P,les gemmes avec les chaises sont aussi probablement cachées <eos>,8,cachées,cachés,6,F,cachées,-6.7955074,cachés,-10.794257,1
3,P_NOUN_3_PASS_b,F,P,les gemmes avec les chaises sont aussi probablement cassées <eos>,8,cassées,cassés,6,F,cassées,-8.284845,cassés,-10.418375,1
4,P_NOUN_3_PASS_b,F,P,les gemmes avec les chaises sont aussi probablement couvertes <eos>,8,couvertes,couverts,6,F,couvertes,-6.4002657,couverts,-8.825838,1
5,P_NOUN_3_PASS_b,F,P,les gemmes avec les chaises sont aussi probablement déformées <eos>,8,déformées,déformés,6,F,déformées,-6.891607,déformés,-13.527769,1
6,P_NOUN_3_PASS_b,F,P,les gemmes avec les chaises sont aussi probablement fixées <eos>,8,fixées,fixés,6,F,fixées,-7.429639,fixés,-10.789928,1
7,P_NOUN_3_PASS_b,F,P,les gemmes avec les chaises sont aussi probablement jetées <eos>,8,jetées,jetés,6,F,jetées,-8.1907425,jetés,-12.153658,1
8,P_NOUN_3_PASS_b,F,P,les gemmes avec les chaises sont aussi probablement laissées <eos>,8,laissées,laissés,6,F,laissées,-7.486367,laissés,-10.928284,1
9,P_NOUN_3_PASS_b,F,P,les gemmes avec les chaises sont aussi probablement ouvertes <eos>,8,ouvertes,ouverts,6,F,ouvertes,-7.3434997,ouverts,-11.29747,1
10,P_NOUN_3_PASS_b,F,P,les gemmes avec les chaises sont aussi probablement perdues <eos>,8,perdues,perdus,6,F,perdues,-7.466299,perdus,-10.7444515,1
11,P_NOUN_3_PASS_b,F,P,les gemmes avec les chaises sont aussi probablement réparées <eos>,8,réparées,réparés,6,F,réparées,-10.412055,réparés,-14.554065,1
